,beni,beni,beni,beni,beni,beni,chuquisaca,chuquisaca,chuquisaca,chuquisaca,chuquisaca,chuquisaca,cochabamba,cochabamba,cochabamba,cochabamba,cochabamba,cochabamba,la paz,la paz,la paz,la paz,la paz,la paz,oruro,oruro,oruro,oruro,oruro,oruro,pando,pando,pando,pando,pando,pando,potosi,potosi,potosi,potosi,potosi,potosi,santa cruz,santa cruz,santa cruz,santa cruz,santa cruz,santa cruz,tarija,tarija,tarija,tarija,tarija,tarija
,camas_habilitadas,camas_habilitadas,camas_habilitadas,hospitalizados,hospitalizados,hospitalizados,camas_habilitadas,camas_habilitadas,camas_habilitadas,hospitalizados,hospitalizados,hospitalizados,camas_habilitadas,camas_habilitadas,camas_habilitadas,hospitalizados,hospitalizados,hospitalizados,camas_habilitadas,camas_habilitadas,camas_habilitadas,hospitalizados,hospitalizados,hospitalizados,camas_habilitadas,camas_habilitadas,camas_habilitadas,hospitalizados,hospitalizados,hospitalizados,camas_habilitadas,camas_habilitadas,camas_habilitadas,hospitalizados,hospitalizados,hospitalizados,camas_habilitadas,camas_habilitadas,camas_habilitadas,hospitalizados,hospitalizados,hospitalizados,camas_habilitadas,camas_habilitadas,camas_habilitadas,hospitalizados,hospitalizados,hospitalizados,camas_habilitadas,camas_habilitadas,camas_habilitadas,hospitalizados,hospitalizados,hospitalizados
,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti,internacion,uci,uti
fecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-12,169,16,25,0,1,0,251,6,50,55,2,6,227,42,42,17,7,8,254,31,81,59,11,40,213,37,22,13,10,5,61,3,11,3,0,0,366,58,46,22,15,5,404,76,163,54,26,47,204,26,29,20,2,5
2021-10-13,168,18,25,0,1,0,245,6,50,54,2,8,227,42,41,16,13,7,253,31,80,65,11,35,213,37,22,13,12,5,61,3,11,2,0,0,366,57,46,23,14,5,404,78,162,58,25,45,202,26,29,16,2,7
2021-10-14,168,20,25,2,1,0,245,6,50,63,2,8,227,42,44,18,11,7,255,27,84,71,10,39,213,37,22,13,13,6,61,3,11,2,0,0,367,57,46,21,12,4,385,78,154,56,22,44,200,26,29,16,1,5
2021-10-15,154,20,25,2,1,0,247,6,50,58,2,7,252,42,44,19,8,7,256,27,83,67,10,41,200,37,22,12,12,6,32,3,9,0,0,1,363,58,47,20,11,4,370,79,150,53,21,54,200,26,29,14,0,4
2021-10-16,141,20,25,2,1,0,250,6,50,55,2,5,277,42,44,20,8,6,256,28,83,68,10,42,188,37,22,11,11,6,41,3,10,2,0,2,360,60,47,21,9,4,374,79,153,54,20,64,200,26,29,11,0,6
2021-10-17,141,20,25,1,1,0,250,6,50,55,2,9,252,42,44,18,9,6,255,28,83,68,11,39,194,37,22,11,10,8,50,3,11,3,0,1,349,60,47,20,8,4,378,78,154,56,24,59,200,26,29,12,0,6
2021-10-18,140,20,24,1,2,0,250,6,50,56,2,6,227,42,44,21,6,4,255,27,85,74,10,38,201,37,22,10,8,6,59,3,11,6,0,0,347,61,47,19,6,3,381,78,155,61,27,59,200,26,29,12,1,6
2021-10-19,146,20,24,1,2,0,242,6,50,50,2,6,217,42,44,25,6,5,255,34,85,68,11,35,207,37,22,9,7,5,60,3,11,5,0,0,354,61,46,18,5,3,384,77,156,68,22,61,200,26,29,10,1,7
2021-10-20,145,22,24,1,2,1,256,6,50,52,2,8,208,42,44,32,6,9,238,35,82,86,14,41,213,37,22,15,7,6,61,3,11,3,0,0,353,61,46,23,3,1,390,82,160,90,30,66,215,33,32,16,6,5
2021-10-21,145,21,24,1,2,1,259,6,50,49,2,10,215,41,41,28,6,10,222,35,81,108,17,38,213,37,22,21,7,8,61,3,11,3,0,0,353,61,46,23,3,0,397,86,157,103,38,67,215,40,34,21,12,4
2021-10-22,144,20,24,1,2,0,250,6,50,43,2,6,226,45,43,15,6,5,222,31,82,93,18,33,213,37,22,10,6,7,61,3,11,3,0,0,352,61,46,15,2,3,406,85,156,89,37,56,200,40,29,10,12,6
2021-10-23,144,21,24,0,2,1,252,6,50,56,1,10,209,42,44,34,6,11,222,25,82,108,15,40,213,37,22,25,10,10,52,3,9,3,0,0,354,57,42,24,3,1,404,84,161,113,37,66,215,40,34,20,13,8
2021-10-24,144,21,24,0,2,1,255,6,50,68,1,9,209,42,44,35,7,9,222,25,82,111,13,39,213,37,23,25,14,12,52,3,9,2,0,0,352,58,43,23,4,1,404,88,158,107,36,60,215,40,39,31,13,7
2021-10-25,144,21,24,1,2,1,253,6,50,75,2,10,209,42,44,37,8,9,226,25,83,108,15,42,213,37,23,24,15,12,52,3,10,4,0,0,352,60,45,21,5,0,457,88,158,114,33,59,217,38,40,23,16,9
2021-10-26,144,21,24,2,2,0,248,6,50,67,2,8,227,42,44,27,6,5,205,28,79,83,13,34,214,37,22,16,10,9,61,3,10,1,0,0,362,63,48,15,6,3,452,88,149,96,25,49,202,26,34,14,9,8
2021-10-27,136,20,24,0,2,1,248,6,50,59,1,9,227,42,44,30,5,6,206,28,75,58,12,27,213,37,22,7,6,9,61,3,11,1,0,0,352,61,46,16,6,3,461,88,149,94,29,49,202,26,29,18,2,7
2021-10-28,128,20,24,0,2,1,248,6,50,58,2,9,202,42,44,27,6,8,215,32,75,73,16,24,213,37,22,6,5,7,61,3,11,2,0,0,352,61,46,14,4,3,465,88,148,88,30,48,202,26,29,17,1,6
2021-10-29,144,20,24,0,2,1,248,6,50,54,2,9,209,42,47,29,6,9,215,37,77,76,12,29,213,37,22,7,5,6,61,3,11,1,0,0,352,61,46,15,2,4,465,87,148,87,31,52,193,26,29,17,2,4
2021-10-30,144,20,24,0,2,1,248,6,50,50,2,9,209,42,46,28,7,9,205,37,76,56,15,27,214,37,22,4,5,6,61,3,11,0,0,0,352,61,46,13,2,4,460,88,146,94,31,54,202,26,29,18,2,4
2021-10-31,144,20,24,0,2,1,245,6,50,53,2,9,209,42,45,26,8,9,210,37,77,69,13,28,213,37,22,4,4,8,61,3,11,0,0,0,352,61,46,10,2,5,457,88,146,90,31,51,203,26,29,15,2,4
2021-11-01,144,20,24,0,2,1,244,6,50,56,1,9,209,42,44,25,10,9,215,37,78,77,11,33,213,37,22,5,3,8,61,3,11,0,0,0,352,61,46,9,1,5,453,88,145,95,33,51,204,26,29,16,2,4
2021-11-02,144,20,24,0,2,1,244,6,50,59,2,9,209,42,44,25,10,10,215,37,79,79,11,35,210,37,22,5,3,8,61,3,11,0,0,0,352,61,46,9,1,6,450,88,145,93,34,54,205,34,29,18,3,4
2021-11-03,144,20,24,0,1,1,245,6,50,58,2,6,209,42,44,32,9,10,215,37,78,76,12,33,213,37,22,7,3,6,61,3,11,0,0,0,352,60,46,8,1,6,452,88,145,92,35,57,221,41,29,17,3,6
2021-11-04,144,20,24,0,1,1,246,6,50,56,2,6,208,42,44,32,9,10,215,37,79,80,13,36,213,37,22,8,4,5,61,3,11,0,0,0,352,60,46,16,1,5,443,87,151,99,36,62,221,41,29,15,5,4
2021-11-05,144,20,24,0,1,1,246,6,50,49,2,6,208,42,44,32,9,8,215,30,79,83,12,34,213,37,22,9,5,4,61,3,11,0,0,0,352,59,46,22,1,5,452,88,150,92,37,64,221,41,29,17,6,2
2021-11-06,144,20,24,0,1,1,250,6,50,50,2,6,208,41,44,31,9,8,217,23,79,85,11,34,213,37,22,9,6,4,61,3,11,0,0,0,352,59,46,22,1,4,451,88,149,94,37,64,221,40,30,17,6,2
2021-11-07,144,21,24,0,1,1,254,6,50,52,2,6,208,40,44,31,9,7,219,23,81,87,9,33,213,37,22,10,6,4,61,3,11,1,0,0,352,59,46,22,0,4,451,88,148,96,37,65,221,38,31,17,6,5
2021-11-08,144,22,24,0,1,1,257,6,50,54,2,8,209,38,44,32,7,8,221,22,81,90,9,35,213,37,22,11,6,4,61,3,11,1,0,0,352,58,46,21,0,4,449,88,147,98,34,65,221,37,33,16,6,6
2021-11-09,144,22,24,0,1,1,262,6,50,56,2,8,209,37,44,31,7,8,223,22,81,92,8,35,213,37,22,11,7,4,61,3,11,1,0,0,352,58,46,20,0,3,449,88,146,99,35,65,221,36,34,16,6,6
2021-11-10,144,22,24,0,1,1,262,6,50,58,2,8,209,39,44,31,7,8,224,23,81,97,9,35,212,37,22,12,7,4,61,3,11,1,0,0,352,57,46,22,0,3,450,88,146,105,37,65,220,36,34,18,8,7
2021-11-11,144,22,24,0,1,1,261,6,50,58,1,10,209,40,44,29,8,9,226,24,82,97,11,38,211,37,22,13,8,6,61,3,11,1,0,0,352,58,46,24,1,3,450,88,147,114,39,63,218,36,35,19,8,8
2021-11-12,144,22,24,0,1,1,261,6,50,60,1,10,209,42,44,29,8,9,227,25,82,102,12,38,210,37,22,14,8,6,61,3,11,1,0,0,352,58,46,26,1,3,450,88,147,119,40,62,217,36,35,21,10,9
2021-11-13,144,22,24,0,1,1,256,6,48,57,2,10,209,42,44,27,7,10,228,25,81,105,11,35,213,37,22,14,5,6,61,3,11,1,0,0,352,59,46,27,1,3,450,93,145,119,43,63,221,40,39,29,10,8
2021-11-14,143,22,24,0,1,2,257,6,48,66,2,9,209,42,44,29,6,10,213,25,81,84,9,32,213,37,22,15,6,7,61,3,11,2,0,0,352,59,46,28,1,3,450,89,145,122,39,61,221,40,39,29,7,7
2021-11-15,144,22,24,0,1,2,257,6,48,59,2,9,209,42,44,31,8,7,223,25,80,100,13,32,213,37,22,17,7,10,61,3,11,2,0,0,352,59,46,26,1,3,450,91,147,125,40,64,221,40,39,31,8,5
2021-11-16,144,22,24,1,1,1,250,6,48,57,2,8,209,42,44,39,9,8,226,25,80,115,11,34,213,37,22,19,8,13,61,3,11,2,0,0,352,59,46,26,2,3,454,91,146,129,40,71,221,40,39,30,7,5
2021-11-17,144,22,24,1,2,1,243,6,48,63,2,9,209,42,43,35,9,8,220,25,81,108,12,35,212,37,22,18,9,12,61,3,11,4,0,0,352,58,46,26,2,3,456,91,146,138,37,74,221,40,39,28,9,6
2021-11-18,144,22,24,1,2,1,244,6,48,58,2,9,209,42,43,35,10,10,220,25,81,109,12,36,212,37,22,23,8,12,61,3,11,4,0,0,352,58,46,24,2,2,454,92,149,136,38,78,221,40,39,25,10,5
2021-11-19,144,22,24,1,2,1,245,6,48,57,2,8,209,42,43,33,10,11,221,26,81,110,14,38,211,37,22,26,8,12,61,3,11,5,0,0,352,57,46,23,3,1,454,92,152,135,40,79,221,40,39,22,12,5
2021-11-20,144,22,24,1,2,1,245,6,48,58,2,8,209,42,43,36,10,11,221,26,81,112,13,38,211,37,22,25,9,11,60,3,11,5,0,0,352,57,46,23,3,1,452,94,152,133,39,81,221,40,39,22,13,6
2021-11-21,144,22,24,1,2,1,246,6,48,56,2,8,209,42,43,36,10,11,222,25,81,111,14,38,212,37,22,24,10,9,58,3,10,6,0,0,352,57,46,23,4,1,450,94,153,135,38,80,220,39,39,23,14,8
2021-11-22,144,22,24,1,2,1,247,6,48,57,2,8,209,42,43,36,10,11,223,25,82,112,13,39,212,37,22,23,11,8,57,3,10,7,0,0,352,57,46,25,4,1,449,96,152,132,37,80,220,39,39,23,15,9
2021-11-23,144,22,24,1,2,1,249,6,48,57,2,9,209,42,44,37,8,10,224,23,83,113,13,42,212,37,23,22,12,8,56,3,10,7,0,0,352,56,46,21,4,0,448,98,154,134,35,82,220,39,40,28,15,11
2021-11-24,144,22,24,1,2,1,249,6,48,59,2,9,209,42,44,40,8,10,224,23,83,113,12,42,212,37,23,21,13,7,55,3,10,7,0,0,352,56,46,21,4,0,448,100,154,134,34,83,220,39,40,28,16,12
2021-11-25,144,22,24,1,2,1,250,6,48,58,2,8,209,42,44,40,8,10,225,22,83,113,13,43,213,37,23,19,14,5,53,3,9,9,0,0,352,56,46,20,5,0,446,100,155,136,33,82,219,38,40,29,17,14
2021-11-26,144,22,24,1,2,1,250,6,48,59,2,8,209,42,44,41,8,10,225,22,83,113,12,43,213,37,23,18,15,4,52,3,9,9,0,0,352,55,46,20,5,0,445,102,154,133,32,82,219,38,40,29,18,15
2021-11-27,149,22,24,1,2,1,250,6,48,59,2,7,209,42,44,42,8,10,225,22,83,112,13,43,213,37,23,23,14,7,52,3,9,8,0,0,348,55,46,22,4,0,450,105,158,135,38,88,219,38,40,29,19,12
2021-11-28,154,22,24,1,2,2,250,6,50,58,2,8,209,42,44,41,8,11,227,22,82,115,14,42,213,37,23,26,14,8,52,3,9,9,0,0,345,55,46,25,5,1,456,101,160,137,36,90,219,38,40,28,14,9
2021-11-29,151,22,24,1,2,1,250,6,51,65,2,9,209,42,44,43,8,14,228,22,82,114,13,42,213,37,23,25,15,8,52,3,9,8,0,0,341,55,46,28,5,3,456,109,166,136,37,96,219,38,40,28,16,10
2021-11-30,153,22,23,0,2,1,245,8,53,59,1,9,209,42,44,40,7,9,223,22,82,107,12,41,213,37,22,28,15,10,52,3,9,7,0,1,339,55,46,29,5,4,454,109,166,129,36,100,219,40,40,25,17,10
2021-12-01,155,22,24,0,2,1,245,10,54,59,0,10,206,42,44,43,9,15,222,25,81,103,13,42,213,37,22,27,16,9,52,3,9,6,0,2,334,55,46,31,6,3,452,109,166,137,38,101,221,38,40,25,14,11
2021-12-02,155,22,29,1,2,1,245,9,55,55,1,10,206,42,44,43,9,15,225,25,81,109,12,41,213,37,22,27,18,8,52,3,9,6,0,2,343,56,46,36,3,4,465,106,166,131,39,95,221,38,40,26,15,12
2021-12-03,155,22,29,0,2,1,246,8,56,58,2,10,206,42,51,49,7,15,223,25,81,104,14,42,212,37,22,26,11,7,52,3,9,4,0,2,352,57,46,40,3,4,467,105,166,134,39,95,221,44,40,32,15,13
2021-12-04,155,22,29,0,2,0,246,7,53,57,2,10,206,42,48,50,9,18,221,26,82,97,15,39,207,37,22,26,8,7,52,3,9,6,0,2,352,57,46,38,3,4,462,104,164,138,41,92,221,44,40,33,16,14
2021-12-05,155,22,29,0,2,0,245,7,49,49,2,8,206,42,48,52,8,17,221,26,83,95,15,41,207,37,22,24,8,7,52,3,9,6,0,2,352,57,46,35,4,4,476,108,167,138,38,90,221,44,40,31,17,15
2021-12-06,155,22,29,0,2,0,245,6,46,46,1,9,206,42,48,52,9,17,220,25,83,91,12,39,212,37,22,27,10,5,46,3,9,6,0,1,352,57,46,30,3,5,467,107,167,134,45,90,221,44,40,33,17,14
2021-12-07,159,22,24,0,2,1,245,5,46,52,1,9,206,42,47,51,9,15,221,26,83,99,14,39,212,37,22,23,8,5,46,3,11,3,0,1,352,57,46,26,2,6,475,108,165,158,42,97,221,44,40,41,15,14
2021-12-08,163,22,29,0,2,1,244,5,46,53,2,9,206,42,47,46,8,12,221,26,83,94,14,36,212,37,22,28,8,6,46,3,9,8,0,1,362,59,48,30,1,6,477,108,164,158,38,100,221,44,40,46,13,14
2021-12-09,167,23,32,3,2,1,233,7,46,59,2,10,205,39,44,48,11,15,221,28,83,98,17,37,212,37,22,27,6,7,46,3,9,11,0,1,352,57,46,32,1,6,482,110,172,161,42,101,221,44,40,44,15,17
2021-12-10,155,22,29,4,2,1,233,9,46,52,2,10,205,39,45,55,10,11,221,25,83,106,13,37,212,37,22,18,8,8,46,3,9,10,0,1,352,57,46,30,1,6,478,110,172,161,53,99,221,44,40,47,14,16
2021-12-11,135,22,29,4,2,1,234,8,46,47,2,10,205,38,45,54,10,12,221,21,83,110,8,38,212,37,22,18,9,8,46,3,9,10,0,2,350,57,46,29,0,6,496,110,167,170,48,96,221,44,40,45,15,16
2021-12-12,155,22,29,4,2,1,234,6,46,45,2,7,206,37,44,53,10,14,211,25,83,92,7,38,212,37,22,18,9,7,46,3,9,14,0,2,350,57,46,28,1,6,498,116,172,177,48,95,221,46,40,41,14,15
2021-12-13,157,22,29,4,2,2,235,5,46,53,2,9,208,39,46,55,12,14,221,25,84,122,13,43,212,37,22,17,8,8,46,3,9,13,0,2,350,57,46,26,1,7,500,117,171,190,49,103,221,45,40,38,18,17
2021-12-14,157,22,28,2,2,1,235,5,46,53,2,10,201,40,47,60,10,14,221,32,85,120,12,42,203,37,22,17,9,9,46,3,9,13,0,2,350,57,46,27,2,6,497,116,169,184,48,105,221,44,40,40,18,20
2021-12-15,157,22,28,2,2,2,236,5,46,61,3,10,193,40,47,54,12,15,221,28,83,118,15,42,212,37,22,15,8,8,47,3,9,15,0,3,350,57,46,27,3,6,500,117,170,197,51,103,221,44,40,40,16,22
2021-12-16,157,22,28,2,2,2,236,5,46,64,3,11,193,40,47,53,13,15,222,25,83,115,14,43,212,37,22,17,8,9,49,3,9,16,0,3,350,57,46,30,4,2,502,118,172,201,53,101,213,44,40,37,17,19
2021-12-17,158,22,28,3,2,2,235,5,46,60,3,12,193,40,47,47,11,16,222,25,83,120,14,42,212,37,22,17,10,10,49,3,9,19,0,3,350,57,46,34,5,5,505,118,174,211,50,98,221,44,40,36,21,20
2021-12-18,158,22,28,3,2,3,235,5,46,52,3,12,193,40,47,42,11,15,212,26,83,103,15,37,212,37,22,14,13,11,49,3,9,20,0,2,350,57,46,33,5,6,505,118,172,229,57,106,221,44,45,42,19,24
2021-12-19,158,22,28,4,2,3,235,5,46,57,2,12,193,40,47,45,12,15,222,25,83,116,19,35,212,37,22,11,14,10,49,3,9,22,0,3,349,56,46,29,5,6,506,117,169,221,62,104,227,44,45,45,13,25
2021-12-20,158,22,28,4,2,3,236,5,46,57,2,13,192,44,43,48,15,14,222,26,82,119,20,41,212,37,22,11,13,11,49,3,9,23,0,2,349,56,46,29,5,8,511,114,172,232,58,102,227,44,45,53,13,26
2021-12-21,158,22,28,4,2,2,224,5,44,51,1,12,193,44,43,52,14,11,225,26,82,127,20,40,212,37,22,10,10,11,49,3,9,21,0,2,349,55,46,29,5,8,519,120,178,242,56,114,227,44,45,54,12,24
2021-12-22,158,22,28,3,2,2,230,5,46,62,1,10,193,41,47,59,13,16,221,29,83,117,23,36,202,37,22,15,12,10,48,3,9,17,0,2,349,56,46,27,5,8,513,120,183,228,62,115,230,47,45,50,14,24
2021-12-23,158,22,28,7,2,3,230,5,46,62,2,15,193,44,47,51,15,18,221,27,82,114,19,44,191,37,22,14,11,9,48,3,9,14,0,2,350,57,47,28,4,8,520,120,184,243,57,119,218,46,46,48,16,29
2021-12-24,158,22,28,3,2,3,230,5,46,66,1,14,193,44,47,52,15,17,221,25,78,109,15,39,212,37,22,17,11,9,48,3,9,10,0,2,349,56,46,27,4,9,525,120,184,238,54,124,222,46,46,47,19,24
2021-12-25,158,22,28,3,2,3,230,6,46,64,1,13,191,44,47,55,15,17,221,25,78,115,15,40,210,37,22,18,11,10,48,3,9,11,0,2,349,56,46,29,4,9,534,120,184,251,56,124,224,46,46,45,18,25
2021-12-26,158,22,28,4,2,2,230,7,46,63,2,13,189,44,48,54,13,15,222,25,78,120,15,43,208,37,22,19,12,11,48,3,9,11,0,2,349,56,46,31,4,10,539,122,184,258,59,124,226,46,46,41,17,28
2021-12-27,158,22,28,7,2,3,230,8,46,62,3,13,187,44,48,57,12,16,223,25,80,126,15,47,206,37,22,19,12,11,48,3,9,12,0,2,349,56,46,31,4,10,549,122,185,268,62,123,228,46,46,38,15,31
2021-12-28,156,20,28,7,0,3,230,9,46,60,3,13,185,44,48,60,11,16,223,25,80,132,15,49,204,37,22,21,13,11,48,3,9,13,0,2,349,56,46,33,4,10,555,122,185,279,63,123,230,46,46,37,14,32
2021-12-29,156,18,28,8,0,2,237,9,46,68,3,12,185,44,45,62,14,15,223,25,80,125,18,49,204,37,22,22,14,13,48,3,9,13,0,3,349,56,46,40,2,10,592,122,188,314,66,125,230,46,46,40,13,32
2021-12-30,156,18,28,9,0,2,237,9,45,67,2,12,191,44,45,66,18,15,228,26,79,123,18,50,203,37,22,21,13,14,48,3,9,14,0,3,348,56,46,42,2,10,613,121,191,350,65,126,230,47,47,43,13,31
2021-12-31,156,18,28,10,0,3,238,9,45,67,2,13,198,43,46,73,20,14,232,27,80,125,18,52,203,38,22,19,13,15,48,3,9,16,0,4,347,56,46,43,3,8,639,121,195,363,62,131,230,48,46,46,12,28
2022-01-01,156,18,28,8,0,3,238,9,45,66,3,14,194,43,47,72,21,15,236,27,81,125,19,55,203,38,22,19,13,15,48,3,9,14,0,4,346,56,46,45,4,7,642,119,195,372,59,127,230,49,47,52,15,24
2022-01-02,156,18,29,8,0,4,239,9,45,64,2,14,203,43,47,78,19,13,240,25,79,132,17,52,203,38,22,22,15,13,48,3,9,14,0,4,349,56,46,45,1,6,659,119,195,392,60,137,232,49,47,57,15,25
2022-01-03,156,17,29,8,0,3,241,9,45,52,1,15,217,43,48,79,17,12,244,27,80,146,19,51,203,38,22,19,21,12,48,3,9,14,0,4,349,56,46,52,1,6,683,117,191,406,57,138,223,49,47,49,12,29
2022-01-04,156,17,29,11,1,3,239,9,46,62,1,16,218,46,48,89,15,12,250,25,82,162,15,52,203,38,22,24,19,13,48,3,9,16,0,4,359,58,48,62,1,6,717,121,190,444,63,136,219,48,48,48,11,30
2022-01-05,156,16,30,11,0,3,240,9,46,68,2,17,226,46,48,98,19,14,251,30,81,162,19,51,202,38,22,32,18,14,46,3,9,14,0,4,346,56,46,65,3,7,721,121,196,482,60,143,227,48,48,47,12,30
2022-01-06,156,16,31,10,1,3,239,9,46,75,2,17,234,46,48,97,17,18,262,35,83,181,19,50,202,38,22,45,19,14,46,3,9,17,0,2,347,56,46,72,5,8,750,121,197,525,67,147,224,48,48,37,12,30
2022-01-07,156,16,31,13,1,3,240,9,46,69,2,17,232,46,48,101,19,20,270,30,85,194,19,53,208,38,22,52,21,13,48,3,9,20,0,2,346,56,46,77,5,10,767,120,203,511,60,150,224,48,48,35,14,35
2022-01-08,157,16,32,16,0,2,244,9,45,77,2,14,249,45,48,101,16,20,267,25,85,190,19,52,208,38,27,72,23,16,48,3,9,20,0,2,346,56,46,83,4,10,775,115,194,524,61,153,224,48,48,41,14,32
2022-01-09,157,16,32,18,0,2,244,9,44,81,3,13,261,44,47,100,20,21,265,26,86,183,19,56,209,37,27,92,20,18,48,3,9,21,0,3,351,56,46,84,6,10,784,109,200,541,66,154,225,48,48,41,15,33
2022-01-10,158,16,29,19,0,2,242,9,44,71,3,14,270,44,47,113,16,21,278,27,85,194,20,58,210,36,27,85,19,18,48,3,9,21,0,3,347,56,46,96,9,9,787,109,201,563,70,156,225,48,48,38,17,32
2022-01-11,161,16,26,23,0,2,242,9,45,70,4,15,278,43,47,119,13,24,290,28,90,203,20,62,210,36,27,91,22,19,48,3,9,21,0,3,365,56,46,109,10,12,803,109,202,544,69,160,228,48,48,36,18,32
2022-01-12,165,16,28,25,0,2,237,9,45,71,5,17,282,43,47,137,15,23,319,28,88,212,20,65,221,36,27,87,23,20,48,3,9,20,0,4,361,56,46,115,14,12,843,109,210,548,71,170,225,48,48,42,16,33
2022-01-13,169,16,30,25,0,3,241,9,45,72,5,15,281,42,46,144,15,24,319,28,90,208,21,63,232,36,27,92,25,17,48,3,9,17,0,4,354,56,46,118,19,16,883,109,208,541,66,178,228,48,48,46,16,33
2022-01-14,175,20,32,26,2,2,245,9,45,74,6,15,286,43,46,155,17,24,317,30,90,213,23,64,237,36,27,98,24,17,48,3,9,18,0,4,356,57,46,130,23,17,918,104,220,526,67,185,228,48,48,49,13,33
2022-01-15,172,20,32,24,3,2,258,9,45,75,6,17,293,44,46,161,21,24,315,29,89,213,20,61,234,36,27,93,21,19,48,3,9,19,0,4,357,52,46,141,27,20,953,112,220,508,77,183,227,48,48,49,10,34
2022-01-16,168,22,32,26,3,3,258,9,45,76,6,20,282,45,48,154,22,24,324,29,88,221,22,63,234,36,27,84,18,17,48,3,9,18,0,4,356,53,46,137,24,20,925,116,221,495,77,182,227,48,48,55,9,30
2022-01-17,164,20,32,28,3,3,257,9,45,82,6,20,277,46,48,151,25,22,326,31,88,220,23,55,234,36,27,81,23,17,48,3,9,17,0,4,362,58,48,135,23,20,952,109,229,494,68,181,227,48,48,61,13,27
2022-01-18,161,20,32,30,3,4,262,9,46,89,6,24,277,45,48,162,28,21,326,28,90,228,20,59,235,36,28,82,23,19,43,4,10,15,1,3,355,56,46,140,22,20,958,119,231,454,78,174,229,48,48,67,11,31
2022-01-19,161,20,32,32,3,6,265,9,46,99,5,24,280,45,48,167,29,23,344,29,91,235,22,63,234,36,27,89,24,20,45,6,11,12,1,4,359,56,46,134,20,21,935,129,232,428,87,168,229,48,48,68,15,30
2022-01-20,162,20,32,31,3,7,272,9,46,96,4,26,283,45,48,161,27,21,340,33,95,244,26,64,234,36,27,95,24,21,46,6,10,11,0,5,358,56,46,129,17,21,927,131,232,395,84,167,242,48,48,66,17,31
2022-01-21,164,20,32,32,3,7,278,9,47,95,3,25,286,45,47,159,23,17,336,36,98,254,28,67,234,36,27,102,24,22,48,6,9,8,0,5,355,56,45,128,16,23,920,132,232,361,81,167,254,48,48,64,18,33
2022-01-22,162,19,32,33,2,5,278,9,46,101,2,25,287,45,47,166,30,23,339,38,98,242,29,72,235,36,28,102,25,21,48,6,9,7,0,5,355,56,45,124,18,22,915,137,231,350,78,163,254,48,48,76,21,31
2022-01-23,160,17,32,30,2,6,278,9,46,106,3,29,284,45,47,169,28,25,337,37,98,240,26,72,234,36,28,105,24,23,48,6,9,8,0,5,355,56,45,120,18,23,913,139,229,334,73,154,254,48,48,72,19,31
2022-01-24,158,16,32,28,1,7,275,9,46,108,4,33,308,48,47,187,29,25,334,39,98,225,30,76,234,36,29,106,26,24,48,6,9,9,0,5,357,56,45,118,20,19,885,141,222,329,66,167,248,48,48,62,20,32
2022-01-25,158,16,32,24,2,7,277,9,46,103,5,34,328,49,47,200,30,26,331,40,98,223,31,73,234,32,29,94,25,24,48,6,9,9,0,5,355,56,45,119,20,19,871,137,214,290,58,160,251,48,48,58,19,32
2022-01-26,158,16,32,21,3,7,280,9,48,102,4,34,320,48,50,184,31,29,328,42,99,224,33,70,234,36,29,104,25,26,52,4,9,10,0,6,356,56,45,117,16,19,861,136,211,270,54,149,235,48,48,58,20,31
2022-01-27,158,16,32,17,3,8,270,9,48,96,2,30,313,49,53,166,36,28,333,44,100,228,36,63,234,36,29,92,22,24,48,3,9,11,0,6,355,56,45,107,17,14,855,133,210,242,49,148,235,48,50,54,21,31
2022-01-28,158,16,32,18,4,9,270,9,48,87,1,28,313,49,53,162,34,31,333,43,100,221,31,66,234,36,28,90,23,22,48,3,10,10,0,6,353,56,45,104,16,16,906,130,211,230,48,141,236,48,50,53,20,33
2022-01-29,158,16,32,19,3,8,271,9,48,93,2,33,313,48,54,165,29,30,341,42,100,213,33,70,234,36,28,88,23,21,48,3,11,11,0,6,355,56,45,106,14,18,904,127,212,224,48,140,222,48,50,53,21,33
2022-01-30,158,16,32,17,3,8,271,9,48,92,3,32,313,47,54,154,21,28,336,42,100,209,30,67,235,33,28,77,25,19,48,3,11,12,0,7,369,64,49,98,16,20,867,127,207,196,37,128,209,48,50,50,23,31
2022-01-31,158,16,32,19,2,8,270,9,48,80,4,32,313,47,54,143,26,26,337,40,99,213,26,64,234,36,28,72,21,19,48,3,11,12,0,7,356,56,45,95,15,22,859,124,204,188,39,131,209,50,50,44,23,27
2022-02-01,158,16,32,16,1,9,270,9,48,75,3,28,313,48,54,141,23,26,334,40,98,211,21,64,234,35,28,66,18,18,48,4,11,15,0,7,356,56,45,91,16,22,849,126,207,156,39,130,210,48,50,45,20,27
